Company,County,Distress tier (1 is highest),Primary address,Other counties,Award date,Program,Status,Announced new jobs,Actual new jobs,Projected award,Awarded to date,Grant term (days),Elapsed days,Minimum new jobs,Minimum retained jobs,Actual retained jobs,Minimum average wage,Actual average wage,Announced wage,Investment required,Actual investment,count-project,count-grant,lat,lng,conf
ABB,Wake&nbsp;County,3,"940 Main Campus Drive, Raleigh, NC 27606-5211",Mecklenburg (Tier 3),9/9/10,One NC,Active,130,153,"$400,000 ","$378,000 ","1,095","1,095",130,301,301,$944 ,"$1,613 ","$64,008 ","$90,000,000 ","$96,906,567 ",1,1,35.772736,-78.678362,1
ABB,Wake&nbsp;County,3,"940 Main Campus Drive, Raleigh, NC 27606-5211",Mecklenburg (Tier 3),9/9/10,JDIG,Active,130,153,"$2,149,500 ","$223,500 ",730,730,130,301,301,"$57,607 ","$83,870 ","$64,008 ","$81,000,000 ","$96,906,567 ",0,1,35.772736,-78.678362,1
ACW Technology,Durham&nbsp;County,3,"2500 S Tricenter Blvd, Durham, NC",,1/28/10,One NC,"Closed, $0 Disbursed",155,0,"$50,000 ",$0 ,"1,095","1,095",140,0,0,$579 ,$0 ,"$33,457 ","$4,412,700 ",$0 ,1,1,35.924163,-78.881686,0.805
ACX Pacific Northwest,Wayne&nbsp;County,2,"301 Jeffreys Lane, Goldsboro, NC",,1/3/13,One NC,"Closed, $0 Disbursed",38,0,"$60,000 ",$0 ,"1,095","1,095",34,0,0,$509 ,$0 ,"$26,316 ","$4,230,000 ",$0 ,1,1,35.933396,-78.479927,0.61
Adhezion BioMedical,Caldwell&nbsp;County,1,"506 Pine Mountain Road, Hudson, NC",,7/6/09,One NC,"Closed, $0 Disbursed",20,0,"$40,000 ",$0 ,"1,460","1,460",20,7,7,$736 ,$0 ,"$42,500 ","$750,000 ",$0 ,1,1,35.854725,-81.467211,0.902
Advanced Textile Solutions,Caldwell&nbsp;County,1,"2500 Baker Circle, Granite, NC",,5/18/10,One NC,"Closed, $0 Disbursed",127,0,"$127,000 ",$0 ,"1,095","1,095",114,72,72,$331 ,$0 ,"$19,111 ","$450,000 ",$0 ,1,1,35.822246,-81.471478,0.503
Aerocrine,Wake&nbsp;County,3,"5151 McCrimmon Pkwy, Morrisville, NC",,3/15/12,One NC,Active,45,0,"$50,000 ",$0 ,"1,095",656,41,6,6,"$1,194 ",$0 ,"$69,000 ","$197,000 ",$0 ,1,1,35.845829,-78.836796,0.708
AKG North America,Orange&nbsp;County,3,"7315 Oakwood Street Extension, Mebane, NC",,6/15/11,One NC,"Closed, Funds Disbursed",76,71,"$100,000 ","$100,000 ","1,095","1,095",68,311,311,$739 ,$822 ,"$42,710 ","$2,970,000 ","$3,310,426 ",1,1,36.079049,-79.257947,0.564
Albaad USA,Rockingham&nbsp;County,1,"129 Technology Drive South, Reidsville, NC",,4/13/10,One NC,"Closed, $0 Disbursed",95,0,"$350,000 ",$0 ,"1,095","1,095",86,200,200,$378 ,$0 ,"$21,820 ","$8,100,000 ",$0 ,1,1,34.308634,-77.87589,0.571
Alliance Precision Plastics Corp,Rutherford&nbsp;County,1,"171 Fairground Road, Spindale, NC",,2/24/12,One NC,Active,54,28,"$48,000 ","$24,000 ","1,095",676,49,0,0,$541 ,$620 ,"$28,148 ","$270,000 ","$1,460,544 ",1,1,35.285302,-81.489098,0.76
Alpla,Hoke&nbsp;County,2,"US Highway 211 E, Raeford, NC",,7/7/09,One NC,"Closed, Funds Disbursed",40,45,"$120,000 ","$120,000 ","1,095","1,095",36,0,0,$562 ,$586 ,"$32,450 ","$6,480,000 ","$8,402,006 ",1,1,34.971083,-79.221764,
Amark Corp,Pasquotank&nbsp;County,2,"100 Kitty Hawk Lane, Elizabeth City NC",,7/6/10,One NC,"Closed, $0 Disbursed",43,0,"$126,000 ",$0 ,"1,095","1,095",39,0,0,$634 ,$0 ,"$36,618 ","$504,000 ",$0 ,1,1,36.275362,-76.215203,0.902
American Roller Bearing,Burke&nbsp;County,1,"1000 Chain Drive, Morganton, NC 28655-7239","Alexander, Burke (Both tier 1)",12/8/11,JDIG,Active,231,57,"$2,031,000 ","$59,520 ","1,825",389,208,344,373,"$34,708 ","$35,406 ","$38,528 ","$21,330,000 ",$0 ,1,1,35.702254,-81.79236,1
Americhem,Randolph&nbsp;County,2,"7280 Liberty Park Road, Liberty NC",,12/10/10,One NC,"Closed, $0 Disbursed",71,0,"$225,000 ",$0 ,"1,095","1,095",64,127,127,$613 ,$0 ,"$35,437 ","$19,962,000 ",$0 ,1,1,35.822142,-79.558057,0.848
Ameridial,Rutherford&nbsp;County,1,"500 West Street, Spindale, NC",,3/8/12,One NC,Active,195,0,"$100,000 ",$0 ,"1,095",663,176,38,38,$376 ,$0 ,,"$1,894,500 ",$0 ,1,1,35.367494,-81.935557,0.777
AptarGroup,Lincoln&nbsp;County,2,"3300 Finger Mill Road, Lincolnton, NC 28092-6129",,5/16/11,JDIG,Active,150,54,"$1,006,400 ","$45,900 ","1,825",595,135,0,0,"$32,680 ","$54,830 ","$36,311 ","$47,933,415 ",$0 ,1,1,35.54673,-81.221544,1
Arvato Digital Services,Buncombe&nbsp;County,3,"108 Monticello Road, Weaverville, NC",,11/24/10,One NC,"Closed, $0 Disbursed",408,0,"$200,000 ",$0 ,"1,095","1,095",367,575,575,$452 ,$0 ,"$26,143 ","$1,620,000 ",$0 ,1,1,35.708928,-82.577658,0.78
ASCO Power Technologies,Davidson&nbsp;County,2,"325 Welcome Center Blvd, Welcome, NC 27374",,2/18/09,JDIG,Active,328,136,"$2,540,000 ","$63,845 ","1,825","1,412",295,211,211,"$39,532 ","$38,300 ","$43,924 ","$10,260,000 ","$11,575,860 ",1,1,36.094913,-79.262834,0.651
Aseptia,Montgomery&nbsp;County,1,"131 Industrial Drive, Troy, NC",,10/31/11,One NC,"Closed, Funds Disbursed",75,77,"$150,000 ","$150,000 ","1,095","1,095",68,0,0,$546 ,$756 ,"$31,470 ","$9,180,000 ","$10,289,927 ",1,1,36.331175,-79.665306,0.805
Ashley Furniture Industries,Davie&nbsp;County,2,"221 Ashley Furniture Way, Advance, NC 27006",,4/20/12,JDIG,Active,550,Not Reported,"$3,190,050 ",$0 ,"1,460",255,468,10,Not Reported,"$27,237 ",Not Reported,"$28,181 ","$73,580,452 ", Not Reported ,0,0,36.379369,-80.703651,0.629
Ashley Furniture Industries,Davie&nbsp;County,2,"Baltimore Road, Advance, NC",,4/20/12,One NC,Active,550,0,"$825,000 ",$0 ,"1,095",620,443,10,10,$524 ,$0 ,"$28,181 ","$73,530,000 ",$0 ,1,1,35.985979,-80.460492,0.857
Automatic Rolls of North Carolina,Johnston&nbsp;County,3,"68 Harvest Mill Lane, Clayton, NC",,2/19/10,One NC,Active,84,63,"$350,000 ","$262,500 ","1,095","1,095",76,0,0,$724 ,$745 ,"$41,815 ","$22,500,000 ","$36,431,486 ",1,1,35.650888,-78.487679,0.572
Avaya,Durham&nbsp;County,3,"4001 E Chapel Hill-Nelson Way, Research Triangle Park, NC 27709-0158",,11/28/11,JDIG,Terminated,135,0,"$1,692,000 ",$0 ,"1,460","1,460",135,304,297,"$87,704 ",$0 ,"$87,704 ",$0 ,$0 ,1,1,36.003988,-78.939349,0.45
Avgol America,Davie&nbsp;County,2,"178 Avgol Drive, Mocksville, NC",,2/10/11,One NC,"Closed, $0 Disbursed",42,0,"$84,000 ",$0 ,"1,095","1,095",38,107,107,$504 ,$0 ,"$33,629 ","$31,500,000 ",$0 ,1,1,35.876269,-80.56213,
BAE Systems Shared Services,Mecklenburg&nbsp;County,3,"11215 Rushmore Drive, Charlotte, NC 28277-3439",,12/16/10,JDIG,Active,176,156,"$1,961,250 ","$285,545 ","1,095",746,158,0,0,"$46,353 ","$72,022 ","$51,392 ",$0 ,$0 ,1,1,35.061014,-80.858428,0.878
Bakers Waste Equipment,Caldwell&nbsp;County,1,"1808 Norwood St SW, Lenoir, NC",,10/1/12,One NC,Active,60,24,"$240,000 ","$60,000 ","1,095",456,54,82,82,$561 ,$671 ,"$29,157 ","$2,644,000 ","$2,064,255 ",1,1,35.882183,-81.52002,0.902
Baldor Electric Co,McDowell&nbsp;County,2,"510 Rockwell Drive, Marion, NC",,5/15/09,One NC,"Closed, Funds Disbursed",25,25,"$75,000 ","$75,000 ","1,095","1,095",23,95,95,$593 ,$839 ,"$34,282 ","$2,790,000 ","$5,428,039 ",1,1,35.642023,-81.9907,0.78
Baldor Electric Co,McDowell&nbsp;County,1,"510 Rockwell Drive, Marion, NC",,11/21/11,One NC,Active,41,11,"$123,000 ","$30,750 ","1,095",771,37,120,120,$611 ,$860 ,"$35,322 ","$15,975,000 ","$12,424,519 ",1,1,35.642023,-81.9907,0.78
Baldor Electric Co,Cleveland&nbsp;County,1,"101 Reliance Road, Kings Mountain, NC",,6/22/09,One NC,"Closed, Funds Disbursed",114,59,"$157,000 ","$89,490 ","1,095","1,095",103,483,483,$663 ,"$1,017 ","$38,329 ","$10,980,000 ","$13,695,190 ",1,1,35.249477,-81.410733,0.902
Baldor Electric Co,Buncombe&nbsp;County,3,"70 Reems Creek Road, Weaverville, NC",,6/26/09,One NC,"Closed, Funds Disbursed",32,11,"$64,000 ","$24,320 ","1,095","1,095",29,128,128,$730 ,"$1,006 ","$42,209 ","$4,320,000 ","$4,768,511 ",1,1,35.684387,-82.56525,0.902
Baldor Electric Co,Cleveland&nbsp;County,1,"4401 East Dixon Blvd, Shelby, NC",,12/30/11,One NC,Active,166,0,"$400,000 ",$0 ,"1,460",732,149,"1,125","1,125",$768 ,$0 ,"$32,344 ","$15,300,000 ",$0 ,1,1,35.265454,-81.477594,0.902
Balfour Beatty Rail,Wayne&nbsp;County,2,"1503 Hwy 117 Bypass N, Goldsboro, NC",,12/31/12,One NC,Active,29,0,"$60,000 ",$0 ,"1,095",365,26,56,56,$744 ,$0 ,"$43,000 ","$945,000 ",$0 ,1,1,35.401424,-77.985386,0.756
